UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"HR, Training and Other Vocational Associate Guidance Professionals",Outsourced,6,4.6249064500646515,30366.666666666668,31194.28233014215,126,120.30416507843537,3.8443444140519376
"HR, Training and Other Vocational Associate Guidance Professionals",Likely agency,4,3.9561626973930175,39336.5,38672.83097803063,126,120.30416507843537,3.2884669411185357
"HR, Training and Other Vocational Associate Guidance Professionals",High indicators,1,0.6118950290889793,31500,31500,126,120.30416507843537,0.5086233121605047
Information Technology Technicians,Not outsourced,90,81.1091060613661,36714.65422222222,34885.82803492248,117,104.54822491627483,77.58056736622795
Information Technology Technicians,Outsourced,22,19.27682671376892,29061.022727272728,26418.488175127684,117,104.54822491627483,18.4382152152333
Information Technology Technicians,Likely agency,2,1.3503942444023145,39450,38972.10979391431,117,104.54822491627483,1.291647223550422
Information Technology Technicians,High indicators,3,2.8118978967374875,27275.333333333332,26495.730307790414,117,104.54822491627483,2.6895701949883266
Legal Associate Professionals,Not outsourced,18,17.299472694186782,28905.416666666668,27095.543846689437,19,18.483495083666686,93.59416396022316
Legal Associate Professionals,Outsourced,1,1.1840223894799036,20400,20400,19,18.483495083666686,6.405836039776855
Protective Service Occupations,Not outsourced,87,87.43607020022714,36995.471264367814,37256.09085277862,98,98.81427628486784,88.48526092339236
Protective Service Occupations,Outsourced,7,8.211897922589074,29582.571428571428,28551.777728973666,98,98.81427628486784,8.310436741868465
Protective Service Occupations,Likely agency,1,1.0060801219251434,20000,20000,98,98.81427628486784,1.0181525987446935
Protective Service Occupations,High indicators,3,2.160228040126494,33466.666666666664,32186.31888442013,98,98.81427628486784,2.1861497359944795
Public Services Associate Professionals,Not outsourced,10,7.599277645293112,31007.1,30263.985633929497,14,10.760004095284678,70.62523004636512
Public Services Associate Professionals,Outsourced,2,1.7592946833256298,15675,15815.297204945802,14,10.760004095284678,16.350316112766166
Public Services Associate Professionals,High indicators,2,1.4014317666659366,21873,22480.276243063498,14,10.760004095284678,13.024453840868718
Regulatory Associate Professionals,Not outsourced,21,18.983661660064943,37434.76666666667,35602.39004206185,25,21.81807166309819,87.00888856356997
Regulatory Associate Professionals,Outsourced,3,2.2774005981715653,49666.666666666664,49624.898726743886,25,21.81807166309819,10.438138774763617
Regulatory Associate Professionals,High indicators,1,0.5570094048616848,37984,37984,25,21.81807166309819,2.55297266166642
"Sales, Marketing and Related Associate Professionals",Not outsourced,155,158.18938569374296,31913.514903225805,31972.550948141063,175,173.77671864099239,91.0302524589318
"Sales, Marketing and Related Associate Professionals",Outsourced,13,9.20619064079526,25432.80769230769,25273.859558668028,175,173.77671864099239,5.297712324637946
"Sales, Marketing and Related Associate Professionals",Likely agency,3,2.568710496946553,43333.5,40598.19248033765,175,173.77671864099239,1.4781672234548782
"Sales, Marketing and Related Associate Professionals",High indicators,4,3.8124318095076055,32176.5,31128.32195118062,175,173.77671864099239,2.1938679929753757
"Science, Engineering and Production Technicians",Not outsourced,76,84.93716497567137,31726.616842105264,30323.870846633698,87,95.0016506210081,89.40598865435804
"Science, Engineering and Production Technicians",Outsourced,9,7.936885353360582,27161.555555555555,24785.650420190457,87,95.0016506210081,8.354471002849573
"Science, Engineering and Production Technicians",Likely agency,1,0.7584546679913542,62000,62000,87,95.0016506210081,0.7983594632656141
"Science, Engineering and Production Technicians",High indicators,1,1.3691456239847926,32000,32000,87,95.0016506210081,1.4411808795267689
Sports and Fitness Occupations,Not outsourced,19,15.126787475043592,19766.57789473684,17978.176142376156,22,17.937552808190794,84.33027423972948
Sports and Fitness Occupations,Outsourced,2,2.114158205186043,17793,14411.143032241558,22,17.937552808190794,11.786213135052952
Sports and Fitness Occupations,High indicators,1,0.6966071279611606,18000,18000,22,17.937552808190794,3.883512625217583
Teaching and Childcare Associate Professionals,Not outsourced,28,24.863386524766554,16880.61142857143,15695.37282198342,32,28.54863729926248,87.09132510996898
Teaching and Childcare Associate Professionals,Outsourced,3,2.684188527891643,19066.666666666668,19144.09162360869,32,28.54863729926248,9.402159899103085
Teaching and Childcare Associate Professionals,Likely agency,1,1.0010622466042838,29000,29000,32,28.54863729926248,3.5065149909279385
Transport Associate Professionals,Not outsourced,5,3.4461321281878563,33220,32459.91596370854,7,5.162265902858161,66.75619181646294
Transport Associate Professionals,Outsourced,1,0.7280602441057761,26050,26050,7,5.162265902858161,14.103501404347949
Transport Associate Professionals,High indicators,1,0.9880735305645285,56000,56000,7,5.162265902858161,19.14030677918911
Veterinary nurses,Not outsourced,7,5.721820433417004,23338,23153.66573077528,8,6.835469134411042,83.70779416751776
Veterinary nurses,Outsourced,1,1.1136487009940381,16588,16588,8,6.835469134411042,16.292205832482225
Welfare and Housing Associate Professionals,Not outsourced,84,72.61606221664978,24843.334285714285,24521.367334222756,94,83.12200977194937,87.36081143355011
Welfare and Housing Associate Professionals,Outsourced,6,6.541069039670788,16377.666666666666,17108.09574479597,94,83.12200977194937,7.869238313193624
Welfare and Housing Associate Professionals,Likely agency,3,3.156147522602932,30433,31309.27643250139,94,83.12200977194937,3.7970057885535105
Welfare and Housing Associate Professionals,High indicators,1,0.8087309930258724,35000,35000,94,83.12200977194937,0.9729444647027645
