UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Engineering Professionals,Likely agency,3,2.2327166240391105,30266.833333333332,29652.148273530518,116,104.59852508199182,2.134558419718583
Engineering Professionals,High indicators,7,5.8082101566121835,44047.71428571428,42874.027676297854,116,104.59852508199182,5.552860474905637
Finance Professionals,Not outsourced,110,96.88828340339842,37245.71245454546,37690.67035096227,130,116.2630795135228,83.33538369085531
Finance Professionals,Outsourced,10,9.819691947544221,32344.7,33635.97783955187,130,116.2630795135228,8.446096549852761
Finance Professionals,Likely agency,4,2.8548093215600256,40427,40100.166001246085,130,116.2630795135228,2.455473683911819
Finance Professionals,High indicators,6,6.700294841020136,36377.5,35230.271501804345,130,116.2630795135228,5.763046075380113
Information Technology Professionals,Not outsourced,231,206.0491460869119,41163.218614718615,41346.85273587436,281,246.8305204235119,83.47798551547542
Information Technology Professionals,Outsourced,34,25.86021437452222,37518.01470588235,37547.35235531061,281,246.8305204235119,10.476911173768647
Information Technology Professionals,Likely agency,10,9.543836279851062,42614.2,43274.21934189411,281,246.8305204235119,3.866554372399225
Information Technology Professionals,High indicators,6,5.377323682226737,33733.333333333336,34769.84064644793,281,246.8305204235119,2.1785489383567
Legal Professionals,Not outsourced,37,30.567758631380162,38228.36486486487,38418.96600286053,41,33.730245466714386,90.62418078618781
Legal Professionals,Outsourced,2,1.3603940183979792,34300,35096.395596516064,41,33.730245466714386,4.033157777462487
Legal Professionals,Likely agency,2,1.8020928169362418,37560,36229.9808265402,41,33.730245466714386,5.342661436349698
Librarians and Related Professionals,Not outsourced,12,9.583148005392314,26515.626666666667,27106.84330017714,13,10.658273042294942,89.91276511085579
Librarians and Related Professionals,Outsourced,1,1.0751250369026277,29000,29000,13,10.658273042294942,10.087234889144213
Media Professionals,Not outsourced,22,17.83715259969291,35584.86363636364,35264.101053841194,24,19.172463762997978,93.03526568201339
Media Professionals,Outsourced,2,1.3353111633050674,36513,38006.07639464257,24,19.172463762997978,6.964734317986611
Medical Practitioners,Not outsourced,18,18.629917661282803,44470.72222222222,44186.79640804109,21,21.45044526421415,86.85096011672616
Medical Practitioners,Outsourced,2,1.7172920252174162,30513,30623.165407084467,21,21.45044526421415,8.00585724009366
Medical Practitioners,High indicators,1,1.1032355777139302,31486,31486.000000000004,21,21.45044526421415,5.143182643180195
Natural and Social Science Professionals,Not outsourced,30,28.059855838696837,31972.683333333334,31964.3636055028,32,29.212248329095395,96.05510511407375
Natural and Social Science Professionals,Outsourced,2,1.1523924903985598,26211.5,27449.080733251107,32,29.212248329095395,3.944894885926247
Nursing Professionals,Not outsourced,180,153.15641332714466,31438.44722222222,31522.6814602568,216,184.6349525271706,82.95093167942098
Nursing Professionals,Outsourced,23,20.55896947319008,28370.260869565216,26921.930743979083,216,184.6349525271706,11.134928241804406
Nursing Professionals,Likely agency,9,6.967891160118047,28893.333333333332,28582.310255741657,216,184.6349525271706,3.773874374675977
Nursing Professionals,High indicators,4,3.951678566717815,37000,35269.27512985718,216,184.6349525271706,2.1402657040986277
Other Educational Professionals,Not outsourced,70,60.79840760028201,30064.128571428573,29007.286616011323,71,61.569022024489875,98.74837312845193
Other Educational Professionals,Outsourced,1,0.7706144242078602,43200,43199.99999999999,71,61.569022024489875,1.2516268715480625
Other Health Professionals,Not outsourced,62,55.69589975201552,32582.167096774192,31417.164626894304,79,72.4192262120503,76.9076150978646
Other Health Professionals,Outsourced,10,11.510949275893568,28623.25,29978.394423039772,79,72.4192262120503,15.89488023827875
Other Health Professionals,Likely agency,2,1.5311077343407482,26168,26605.34190893945,79,72.4192262120503,2.1142282435572026
Other Health Professionals,High indicators,5,3.6812694498004612,30599.968,31591.229232492802,79,72.4192262120503,5.083276420299435
Quality and Regulatory Professionals,Not outsourced,33,30.324886829116107,34877.71212121212,35243.0387627672,37,33.20155879739818,91.33573219909331
Quality and Regulatory Professionals,Outsourced,4,2.8766719682820736,27454,26808.095017513217,37,33.20155879739818,8.664267800906693
Research and Development (R&D) and Other Research Professionals,Not outsourced,15,12.659263837242609,35483.8,34744.48194441129,19,16.382065810275392,77.27513723758993
Research and Development (R&D) and Other Research Professionals,Likely agency,2,1.5741260628347495,32675,32260.006910956614,19,16.382065810275392,9.608837377807406
Research and Development (R&D) and Other Research Professionals,High indicators,2,2.148675910198033,40800,43588.045989026556,19,16.382065810275392,13.116025384602652
Teaching Professionals,Not outsourced,293,247.2462650414565,32063.36914675768,31639.4506861835,334,280.2979009535578,88.20838978827116
Teaching Professionals,Outsourced,26,21.4285258618275,25032.673076923078,26288.757392964522,334,280.2979009535578,7.644911285075217
Teaching Professionals,Likely agency,7,4.811727644299512,36588.28571428572,36311.876781625346,334,280.2979009535578,1.7166477622309277
Teaching Professionals,High indicators,8,6.811382405974328,28524.75,27511.386423716558,334,280.2979009535578,2.4300511644227036
Therapy Professionals,Not outsourced,40,34.106365227656525,34410.7205,34295.89693616989,46,39.420708042971235,86.51890572457066
Therapy Professionals,Outsourced,4,3.2520596503436736,34543.25,34606.19224377194,46,39.420708042971235,8.249622626764362
Therapy Professionals,High indicators,2,2.062283164971039,22713,24886.153567434845,46,39.420708042971235,5.231471648664988
Veterinarians,Not outsourced,3,2.1943687814361565,38526.666666666664,37715.719218625454,3,2.1943687814361565,100
Web and Multimedia Design Professionals,Not outsourced,21,19.16907738615563,33411.76190476191,36332.16219968408,22,20.35408752785337,94.17802375038369
Web and Multimedia Design Professionals,Outsourced,1,1.1850101416977374,33000,33000,22,20.35408752785337,5.821976249616304
Welfare Professionals,Not outsourced,50,39.60508415092086,30444.8124,30599.567677819974,55,44.21120062540974,89.58156211699534
Welfare Professionals,Outsourced,5,4.606116474488879,37000,36150.14891529702,55,44.21120062540974,10.418437883004655
NA,Not outsourced,1,0.8331552475741444,52000,52000.00000000001,1,0.8331552475741444,100
