"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"61","Consultant","Health care","General hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",40000,NA
"62","Social prescriber","Work with young people","Provide a service","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",25000,NA
"63","Accountant","Finance","Government","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",84000,NA
"64","Storeman","Look after store's","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",750,NA
"65","Residential social worker","Care","Care","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",3000,NA
"66","Customer service","I perform tasks as required by customers.","We sell cars to the public.","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1250,NA
"67","Lawyer","Law","Law","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"68","Cleaner","clean","business support services","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",19000,NA
"69","Electronics","Sales","Electronics","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",50000,NA
"70","Cleaner","Cleaning","Cleaning","Activities of households as employers  (employed by a household as domestic personnel, i.e. cleaner – not through an a",NA,NA
"71","OPERATIONS MANAGER","I manage the buisness","Transport","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",36000,NA
"72","Security officer","Guard business","Marine","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",2800,NA
"73","Senior Director","Consultant","Strategic Communication","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",200000,NA
"74","Bearer","Furerals","Funeral Directors","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1000,NA
"75","Teacher","Teach","School","Education  (schools, colleges, or training centres)",30000,NA
"76","Sales","Counter sales","Merchant sales","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",29000,NA
"77","Office manager","Office management, scheduling","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"78","HR Administrator","Ad hoc administrator roles","Look after spreadsheets and send out jobs","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",35000,NA
"79","Manager","Managing over all","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",78000,NA
"80","Cleaner","Cleaning","Council","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",5000,NA
"81","Paramedic","Paramedic","Ambulance","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"82","Finance Manager","Accounts","Logistics","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",45000,NA
"83","Customer service assistant","Run a department","Retail","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",700,NA
"84","Administrator","Typing","Healthcare","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",NA,"£44,801 up to £50,400"
"85","analyst","analysis","retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",35000,NA
"86","Customer assistant","Valet","Valet, car parks","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",27000,NA
"87","Manager","Supervise","Public Sector","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",39000,NA
"88","It manager","Supervise 1st and 2nd line","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2800,NA
"89","pilot","fly","ambulance","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",56000,NA
"90","Manager","Insurance","Claims","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",1570,NA
"91","Career","Looking after people","Homes","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"92","Production supervisor","Supervisor staff","Steel cable ties","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",1890,NA
"93","Secondary school teacher","Teatching","Education","Education  (schools, colleges, or training centres)",NA,NA
"94","Aircraft Handler","Aircraft Maintenance","Defence Contractor","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",23000,NA
"95","office admin","sort out jobs for workers","construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,NA
"96","It","It support","It supports","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",NA,"£28,001 up to £33,600"
"97","Health protection nurse","Public health nurse","Nhs fife","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"98","Director","Supervisor of staff","Education","Education  (schools, colleges, or training centres)",3500,NA
"99","Manager","HR","HR","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",5000,NA
"100","Administrative assistant","Check in patients, print documents book appointments","Healthcare","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",27000,NA
"101","Customer support supervisorv","I support and coach staff to ensure they’re giving the correct advise and analysis of our calls","Finance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2000,NA
"102","Public Liaison Officer","I perform PR functions of Client and Stakeholder engagement/Liaison.","Construction of Roads, bridges and social amenities","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",24000,NA
"103","Retail support assistance","Sales","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",10000,NA
"104","IT","IT manager","It's a construction company","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",120000,NA
"105","Manager","Manage","Insurance","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",71000,NA
"106","Researcher","Research","Market research","I’m not sure",NA,NA
"107","Occupational therapist","Provide therapeutic care for clients","Health","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1200,NA
"108","First line manager","Ensure H&S compliance, train & mentor staff, ensure KPI's are met. carryout disciplinaries and investigations","Tech retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",37984,NA
"109","Welder","Weld and purchase","Metal work","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",20,NA
"110","Construction assistance","Construction","Construction and building","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",4000,NA
"111","Dispatch administrator","Release work for people to pick","Distribution","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",11.25,NA
"112","Support worker","Support","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1500,NA
"113","Support care","Support other ppl","None","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",18000,NA
"114","Dinning host","Hospitality","Hospitality","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",2500,NA
"115","Account manager","Payroll","Truck service","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2450,NA
"116","computer software","fix code","make programs","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",40000,NA
"117","Carer","Care for elderly","Care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",11,NA
"118","Primary school teacher","Teaching","Education","Education  (schools, colleges, or training centres)",NA,NA
"119","sports coach","develop athletes","leisure","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",NA,NA
"120","Pension specialist","Pension guidance","Advice","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",24000,NA
"121","waitress","run a pub","sell bear","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",300,NA
"122","Fish monger","Fillet fish","Fish","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",20,NA
"123","PX LEad","HR management","software","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",32000,NA
"124","Bms","Healthcare","Healthcare","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",30000,NA
"125","associate strategic consultant","email marketing strategy","software","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",2060,NA
"126","Site manager","In charge of maintenance","High school","Education  (schools, colleges, or training centres)",NA,"£22,401 up to £28,000"
"127","reach truck driver","organise warehouse","logistics/transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"128","Health care assistant","Care for patients","General hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2100,NA
"129","Planner","Plan production","Food","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35000,NA
"130","admin","scheduling","cleaning","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",405,NA
"131","care assistant","care for people","healthcrae","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"132","Admin assistant","Invoices and payroll","Houses","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,"£28,001 up to £33,600"
"133","Teacher","coach","educate","Education  (schools, colleges, or training centres)",NA,"£28,001 up to £33,600"
"134","Administrator","Admin","Qualifications","Education  (schools, colleges, or training centres)",2000,NA
"135","Semi skilled worker","Working inside a caravan","Caravan manufacturer","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",520,NA
"136","Clerical Assistant","Health care","Health care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",42000,NA
"137","Operations","Forklift driver","Food","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"138","Office assistant","Help my boss","Health","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",50000,NA
"139","HR manager","plan courses , learn workers","create building and houses","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2750,NA
"140","Surveyor","Surveying","Subsidence surveying","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2600,NA
"141","Logistics manager","Manage orders","Nutritional supplements","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",30500,NA
"142","prison officer","security","security","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",2200,NA
"143","Physiotherapist","Charity","Health care","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"144","Nurse clinical lead","Primary health care","Health hub","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",30,NA
"145","Cleaner","Clean","Office","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",10.42,NA
"146","Head gardener","Supervisor","Hospitality","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",2400,NA
"147","Eletctrical Engineer","Site work","Electrical work","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",NA,NA
"148","restaurant manager","train the new wait staff, look over profits and keep an eye on the floor","food, cuisine","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",20000,NA
"149","Catering Assistant","Cater","Education","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",400,NA
"150","Manager","Everything","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",3000,NA
"151","Teaching assistant","Education","Primary education","Education  (schools, colleges, or training centres)",NA,"£11,201 up to £16,800"
"152","Project manager","Manage construction projects","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",60000,NA
"153","Office cleaner","Idk","Primary","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",NA,"Over £56,000 a year"
"154","projects manager","consulting","oil and gas","Mining and Quarrying  (includes mining, quarrying, or oil and gas extraction)",90000,NA
"155","Warehouse operator","Pick pack","Books","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"156","Design Engineer","Design Engineering","Engineering","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2999,NA
"157","Security","Security","Chemical plant","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"158","senior research manager","manage research","manage research","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",48000,NA
"159","Research","Research","Education","I’m not sure",NA,"Prefer not to say"
"160","Caseworker","Work on cases","Public safety","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",2900,NA
"161","pharmacy","i sell drugs","pharmacy","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1600,NA
"162","party planner","plan parties","parties","I’m not sure",25000,NA
"163","Catering assistant","Customer service","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",21000,NA
"164","Developer manager","Manage development","Provide healthcare solutions","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",2800,NA
"165","warehouse manger","storage and handleing","store products be sending out to shops","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"166","Domestic","Clean","Nhs","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"167","packer","pack","auto parts sales","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",1643,NA
"168","Account Handler","Insurance","Insurance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",15900,NA
"169","Hgv driver","Delivery of fuel","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",55000,NA
"170","Accounts Administrator","Manage accounts","Real estate","Real Estate Activities  (buying, selling, renting of real estate properties or property management)",22000,NA
"171","Hgv driver","Driving","Food retail","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",2500,NA
"172","Director","Manage","Legal services","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"173","Hgv driver","Drive","Retail","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",750,NA
"174","manager","manage pepople","General Hospital","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",26000,NA
"175","Retail assistant","Sales","Petrol station","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1200,NA
"176","Sales associate","Sales","Tools","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"177","Electrical Engineering","Work on everything that is electrical","Electrical Engineering","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"178","Associate","marketing","advertisement","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"179","Performance analyst","Analyse the performance of the business across our goals","Hospital appliances","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",1800,NA
"180","operation","electronic","electronical","I’m not sure",NA,NA
"181","Post","Deliver","Parcels","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",350,NA
"182","Warehouse nanager","Stock check","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,"Prefer not to say"
"183","Airport Baggage handler","Move luggage to and from aircraft","Handling Luggage","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1600,NA
"184","Assistant client Manager","Accountancy","Accountancy","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",500,NA
"185","Customer Experience Coordinator","Customer service","Hardware retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"186","HR Director","Recruitment planning, salary management, benefit management","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"187","Administrator","Bopkinh roome andvdeti rooms isrd by doctors for teaching","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1800,NA
"188","Senior analyst","Review procedures","Finance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2400,NA
"189","Team support","Team support","Retail","I’m not sure",NA,NA
"190","Manager","Senior manager","Retail","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",4000,NA
"191","Crew member","Take payment","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",1200,NA
"192","Clinical pharmacist","Pharmacy","Nhs","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"193","Security","Security","Electricity Distribution","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",NA,NA
"194","Catering","Crew member","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",NA,NA
"195","Retail Assistant","Retail","Food retail","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,NA
"196","Electrical Engineer","Maintenance","Clothing retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",42000,NA
"197","Bartender","Food and drinks","Serve people and basic customer services","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",300,NA
"198","Pharmacist","Pharmacy","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"199","Manager","Accounting","Work with diff businesses","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",42999,NA
"200","Retail Assistant","Assist sales manager","Food Wholesale","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"201","Finance manager","Responsible fir day to day account administration","Financing","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",65000,NA
"202","Manager","Manage","Retail","Real Estate Activities  (buying, selling, renting of real estate properties or property management)",42000,NA
"203","Civil servant","Admin","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"204","Bus driver/supervisor","Drive a bus","Transport","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"205","Legal","Legal","Legal","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",NA,NA
"206","Facilities Engineering Manager","Engineering","Food","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",60000,NA
"207","Retail assistant","Customer service","Clothing retailer","I’m not sure",1300,NA
"208","higher officer","Developing","Healthcare","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",NA,"£39,201 up to £44,800"
"209","teacher","My day job consists of giving lectures to others.","My company is responsible for recruiting students.","Education  (schools, colleges, or training centres)",5000,NA
"210","hr manager","recruit and train new staff..","retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"211","Retail supervisor","Serve customers do stock take and delivery train staff deal with complaints","Petrol station and retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1420,NA
"212","Manager","Manage staff","Leisure","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",25000,NA
"213","House keeper assistant","Cleaning and feeding","Look after elderly","I’m not sure",NA,"Prefer not to say"
"214","Service engineer","Service","Water industry","Water Supply, Sewerage, Waste Management, and Remediation Activities  (provides or manages water supply, sewage systems,",3670,NA
"215","Customer assistant","Retail","Groceries","I’m not sure",10000,NA
"216","Office Manager","Admin","Charity","I’m not sure",NA,"£11,201 up to £16,800"
"217","PDA","Discharge patients","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",23000,NA
"218","Software Development Engineer","My day job is writing code.","My company mainly sells software to customers.","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",6000,NA
"219","Cleaner","Clean","College","Education  (schools, colleges, or training centres)",1600,NA
"220","Accounts manager","Deal with accounts","Accounting","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",3200,NA
"221","co-ord","admin","pcb","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"222","Design manager","Consultancy","Consultancy","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,"Prefer not to say"
"223","Team leader","Manage a team of customer service agents for a furniture company","Furniture retailer","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",2000,NA
"224","Administrator","Manage complaints","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",24000,NA
"225","Recycling management operative","Household waste collection","Waste management","Water Supply, Sewerage, Waste Management, and Remediation Activities  (provides or manages water supply, sewage systems,",2100,NA
"226","Head gardener","Supervisor","Hospitality","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",27500,NA
"227","Construction logistics manager","Manager men and logistics","Build towers","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",68000,NA
