variable,Estimate,or,Std. Error,t value,Pr(>|t|)
Ethnicity_collapsed_disaggregatedWhite and Asian:outsourcing_statusOutsourced,1.7391191397907262,5.692,0.9165077306571576,1.8975498859608493,0.05779108135048096
Ethnicity_collapsed_disaggregatedAny other Mixed / Multiple ethnic background:outsourcing_statusOutsourced,0.9653274693070432,2.626,0.6889365516983249,1.401184865177172,0.16119727649146073
Ethnicity_collapsed_disaggregatedIndian:outsourcing_statusOutsourced,-0.2089242417669841,0.811,0.3630691418435934,-0.5754392695179438,0.5650103061709197
Ethnicity_collapsed_disaggregatedPakistani:outsourcing_statusOutsourced,0.3105260867755859,1.364,0.41183690316447175,0.7540025781797747,0.4508696864338603
Ethnicity_collapsed_disaggregatedBangladeshi:outsourcing_statusOutsourced,-0.09333530398998982,0.911,0.6229575109720061,-0.14982611549920621,0.8809055512079162
Ethnicity_collapsed_disaggregatedChinese:outsourcing_statusOutsourced,0.09909778521800702,1.104,0.6441590201217924,0.15384056129380974,0.8777393003185953
Ethnicity_collapsed_disaggregatedAny other Asian background:outsourcing_statusOutsourced,-1.2554783649190278,0.285,0.5161723173705683,-2.432285348649761,0.015025489633457978
Ethnicity_collapsed_disaggregatedAfrican:outsourcing_statusOutsourced,-0.7893288740321044,0.454,0.3869457541961524,-2.0398954258378397,0.04139325684109808
Ethnicity_collapsed_disaggregatedCaribbean:outsourcing_statusOutsourced,-0.18122459944123268,0.834,0.7082917379989885,-0.255861518239948,0.7980642949806018
"Ethnicity_collapsed_disaggregatedAny other Black, Black British, or Caribbean background:outsourcing_statusOutsourced",-2.4651338947677686,0.085,1.4110582645358019,-1.7470107058823172,0.08067354408030956
Ethnicity_collapsed_disaggregatedArab:outsourcing_statusOutsourced,-0.4691224312267468,0.626,1.0133646043222473,-0.4629354816872675,0.6434231042412004
Ethnicity_collapsed_disaggregatedAny other ethnic group:outsourcing_statusOutsourced,14.791241866236769,2653106.741,228.1718925652058,0.06482499531360902,0.9483149465666505
Ethnicity_collapsed_disaggregatedDon’t think of myself as any of these:outsourcing_statusOutsourced,-0.4865824213434997,0.615,2.185188996889457,-0.2226729230451615,0.8237957153549991
Ethnicity_collapsed_disaggregatedPrefer not to say:outsourcing_statusOutsourced,0.7728727126931372,2.166,1.0749184766918811,0.7190058869131118,0.4721581237801965
