outsourcing_status,Ethnicity,BORNUK,Frequency,Percentage
Not outsourced,Don’t think of myself as any of these,I was born in the UK,2.326863385952291,39.64715187182011
Not outsourced,Don’t think of myself as any of these,Within the last year,0.5138564523328126,8.755539723109223
Not outsourced,Don’t think of myself as any of these,Within the last 10 years,0.6975381598589189,11.885270758600317
Not outsourced,Don’t think of myself as any of these,Within the last 15 years,0.695512291850311,11.850752231601938
Not outsourced,Don’t think of myself as any of these,Within the last 20 years,0.7407107790971387,12.620883945853015
Not outsourced,Don’t think of myself as any of these,Within the last 30 years,0.894448415364507,15.240401469015403
Not outsourced,Prefer not to say,I was born in the UK,15.242418526018897,64.75608438080893
Not outsourced,Prefer not to say,Within the last 5 years,0.695512291850311,2.9548232507897163
Not outsourced,Prefer not to say,Within the last 30 years,1.9369463117953518,8.228947302136358
Not outsourced,Prefer not to say,More than 30 years ago,0.6931420675424287,2.944753559748188
Not outsourced,Prefer not to say,Prefer not to say,4.970183694097122,21.115391506516808
Not outsourced,NA,I was born in the UK,208.25118620343247,75.0627521263125
Not outsourced,NA,Within the last year,1.0185302488593952,0.3671224399586351
Not outsourced,NA,Within the last 3 years,0.7186043112991939,0.2590161346944675
Not outsourced,NA,Within the last 5 years,8.365694820800414,3.015358942948329
Not outsourced,NA,Within the last 10 years,5.79071520728575,2.0872247028353024
Not outsourced,NA,Within the last 15 years,10.151854204844682,3.659168188633154
Not outsourced,NA,Within the last 20 years,4.682465032641556,1.687763313587818
Not outsourced,NA,Within the last 30 years,8.740855320008297,3.150583044539357
Not outsourced,NA,More than 30 years ago,5.82120688956203,2.09821522649255
Not outsourced,NA,Prefer not to say,23.895006614190702,8.61279587999788
Outsourced,English / Welsh / Scottish / Northern Irish / British,I was born in the UK,1056.3342311380093,92.41188022576165
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last year,4.633227342094831,0.40533122715820813
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 3 years,7.9743198941993265,0.6976219014986916
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 5 years,10.272639296301929,0.8986870672832329
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 10 years,10.958263644738912,0.9586679268444775
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 15 years,7.615628467866811,0.666242298195921
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 20 years,10.490770825252849,0.9177699902186738
Outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 30 years,3.3177975216058955,0.2902527421171068
Outsourced,English / Welsh / Scottish / Northern Irish / British,More than 30 years ago,19.00698502274205,1.6627987350956182
Outsourced,English / Welsh / Scottish / Northern Irish / British,Prefer not to say,12.468032535698374,1.0907478858264172
Outsourced,Irish,I was born in the UK,11.884631722363325,79.96789789863074
Outsourced,Irish,Within the last 10 years,0.7706144242078602,5.185218779502232
Outsourced,Irish,Within the last 20 years,0.7706144242078602,5.185218779502232
Outsourced,Irish,More than 30 years ago,0.6370296541284283,4.286369450042338
Outsourced,Irish,Prefer not to say,0.7988630969424703,5.37529509232246
Outsourced,Gypsy or Irish Traveller,I was born in the UK,2.47560567087183,100
Outsourced,Roma,Within the last 10 years,2.25262072763344,100
Outsourced,Any other White background,I was born in the UK,10.478372818607994,11.152412893229235
Outsourced,Any other White background,Within the last year,3.685153306957802,3.922207385201844
Outsourced,Any other White background,Within the last 3 years,4.438120103367276,4.7236101176507255
Outsourced,Any other White background,Within the last 5 years,7.9771102899539175,8.490252178315998
Outsourced,Any other White background,Within the last 10 years,29.512217168088647,31.410643327052068
Outsourced,Any other White background,Within the last 15 years,20.752536784441446,22.087480833953055
Outsourced,Any other White background,Within the last 20 years,9.707573511841108,10.33203054229651
Outsourced,Any other White background,Within the last 30 years,1.0751250369026277,1.1442843780184633
Outsourced,Any other White background,More than 30 years ago,5.381419107042388,5.7275885170520695
Outsourced,Any other White background,Prefer not to say,0.9484773266178472,1.0094898272300346
Outsourced,White and Black Caribbean,I was born in the UK,5.532428668132385,100
Outsourced,White and Black African,I was born in the UK,7.697191012489832,52.66693601216156
Outsourced,White and Black African,Within the last year,1.4291137501229654,9.778507810147175
Outsourced,White and Black African,Within the last 3 years,1.2737146922319278,8.715211833080076
Outsourced,White and Black African,Within the last 5 years,1.6986330802721872,11.622655537802187
Outsourced,White and Black African,Within the last 10 years,0.34982811108301337,2.393649152238542
Outsourced,White and Black African,Within the last 15 years,0.465060649438557,3.182111425585092
Outsourced,White and Black African,More than 30 years ago,1.701303605747918,11.640928228985366
Outsourced,White and Asian,I was born in the UK,5.329718440025972,58.37586069951838
Outsourced,White and Asian,Within the last 3 years,0.3415627914779605,3.741102303963153
Outsourced,White and Asian,Within the last 10 years,1.3562754115301618,14.855145798899065
Outsourced,White and Asian,More than 30 years ago,2.1024473965807657,23.027891197619397
Outsourced,Any other Mixed / Multiple ethnic background,I was born in the UK,8.240181888798727,51.85913397754109
Outsourced,Any other Mixed / Multiple ethnic background,Within the last 3 years,1.268868111164083,7.985552050269185
Outsourced,Any other Mixed / Multiple ethnic background,Within the last 5 years,1.8845645473701818,11.860403892812847
Outsourced,Any other Mixed / Multiple ethnic background,Within the last 10 years,1.3656475318038486,8.594628040211694
Outsourced,Any other Mixed / Multiple ethnic background,Within the last 30 years,2.6843564545034035,16.893850511576915
Outsourced,Any other Mixed / Multiple ethnic background,Prefer not to say,0.44592927941684624,2.806431527588267
Outsourced,Indian,I was born in the UK,38.31967778927234,51.799766061622556
Outsourced,Indian,Within the last year,3.574154124301886,4.831469317804428
Outsourced,Indian,Within the last 3 years,6.060652703301667,8.192667849092793
Outsourced,Indian,Within the last 5 years,2.704501157394283,3.655890011309814
Outsourced,Indian,Within the last 10 years,10.04653329487053,13.580700685074252
Outsourced,Indian,Within the last 15 years,3.3839744000376077,4.574388209744814
Outsourced,Indian,Within the last 20 years,5.2401269590196815,7.083497729367924
Outsourced,Indian,More than 30 years ago,3.5458276456480933,4.793178156389005
Outsourced,Indian,Prefer not to say,1.101097966315758,1.488441979594414
Outsourced,Pakistani,I was born in the UK,35.390793812009,65.71625954261849
Outsourced,Pakistani,Within the last year,1.5688228458318947,2.913107003496899
Outsourced,Pakistani,Within the last 3 years,0.6880481040027862,1.2776189203507133
Outsourced,Pakistani,Within the last 5 years,2.543844581648204,4.7235999184327815
Outsourced,Pakistani,Within the last 10 years,8.077949510907152,14.999737769397264
Outsourced,Pakistani,Within the last 20 years,3.6596775778388393,6.795561660048173
Outsourced,Pakistani,Within the last 30 years,0.6742540291379583,1.2520050556608588
Outsourced,Pakistani,More than 30 years ago,1.250547754717052,2.322110129994834
Outsourced,Bangladeshi,I was born in the UK,13.671670534843148,59.344891027490164
Outsourced,Bangladeshi,Within the last year,0.9099622675712645,3.9498912346167128
Outsourced,Bangladeshi,Within the last 3 years,1.2132252336338016,5.266270796850011
Outsourced,Bangladeshi,Within the last 5 years,0.6742540291379583,2.9267478163741
Outsourced,Bangladeshi,Within the last 10 years,0.940174338050427,4.081033367228184
Outsourced,Bangladeshi,Within the last 15 years,0.6946169831732025,3.015137694197705
Outsourced,Bangladeshi,More than 30 years ago,2.7694444847783704,12.021382517739381
Outsourced,Bangladeshi,Prefer not to say,2.164305915234755,9.394645545503737
Outsourced,Chinese,I was born in the UK,6.006650106278372,28.553424579294674
Outsourced,Chinese,Within the last 5 years,1.1850101416977374,5.633106158672185
Outsourced,Chinese,Within the last 15 years,6.969155678619225,33.128825140459256
Outsourced,Chinese,Within the last 20 years,1.985870509129957,9.44010435157847
Outsourced,Chinese,More than 30 years ago,4.889844890307158,23.24453976999542
Outsourced,Any other Asian background,I was born in the UK,7.581558404838961,16.92358154173358
Outsourced,Any other Asian background,Within the last year,7.615327711869389,16.9989615085716
Outsourced,Any other Asian background,Within the last 3 years,6.538416841537763,14.59507724704507
Outsourced,Any other Asian background,Within the last 5 years,3.087465212957646,6.8918507909145905
Outsourced,Any other Asian background,Within the last 10 years,1.6134707873318983,3.6015952099226034
Outsourced,Any other Asian background,Within the last 15 years,7.781204952375709,17.369233272729577
Outsourced,Any other Asian background,Within the last 20 years,6.5359725443819965,14.589621078270925
Outsourced,Any other Asian background,Within the last 30 years,1.2941204086799107,2.8887401628585425
Outsourced,Any other Asian background,More than 30 years ago,2.7512451559131583,6.141339187953514
Outsourced,African,I was born in the UK,13.362742086797484,19.099875428786817
Outsourced,African,Within the last year,24.085397585654352,34.426174699077144
Outsourced,African,Within the last 3 years,8.664334467247087,12.384262745089332
Outsourced,African,Within the last 5 years,2.386281210170889,3.4108024802296986
Outsourced,African,Within the last 10 years,3.251887386466553,4.648046305654601
Outsourced,African,Within the last 15 years,5.727331211785215,8.186292302429447
Outsourced,African,Within the last 20 years,5.318649637935219,7.602148187406256
Outsourced,African,Within the last 30 years,1.717086307908249,2.454296757992952
Outsourced,African,More than 30 years ago,1.4110685833244836,2.016893986871183
Outsourced,African,Prefer not to say,4.037678276001742,5.771207106462561
Outsourced,Caribbean,I was born in the UK,10.019529660006478,66.3297797549633
Outsourced,Caribbean,Within the last 10 years,0.586265151773049,3.881104175012875
Outsourced,Caribbean,Within the last 20 years,0.7215790236660826,4.77688867039511
Outsourced,Caribbean,More than 30 years ago,2.447893712863253,16.205176924210427
Outsourced,Caribbean,Prefer not to say,1.3303602662577019,8.807050475418288
Outsourced,"Any other Black, Black British, or Caribbean background",I was born in the UK,9.462579837936412,80.28604415428143
Outsourced,"Any other Black, Black British, or Caribbean background",Within the last 3 years,0.4273161810976893,3.6255996114194744
Outsourced,"Any other Black, Black British, or Caribbean background",Within the last 5 years,0.6175985978957884,5.2400665727008455
Outsourced,"Any other Black, Black British, or Caribbean background",Within the last 20 years,0.7215790236660826,6.122297126899834
Outsourced,"Any other Black, Black British, or Caribbean background",More than 30 years ago,0.5570094048616848,4.725992534698418
Outsourced,Arab,I was born in the UK,3.7973273099778746,31.57243433975183
Outsourced,Arab,Within the last year,2.017214567060859,16.771894879952022
Outsourced,Arab,Within the last 5 years,1.7568934585174687,14.607485431985449
Outsourced,Arab,Within the last 10 years,1.2385155683913387,10.297493018062696
Outsourced,Arab,Within the last 15 years,3.217399502786165,26.750692330248
Outsourced,Any other ethnic group,I was born in the UK,7.056285363705941,100
Outsourced,Don’t think of myself as any of these,I was born in the UK,1.9531873051199349,66.39621844779504
Outsourced,Don’t think of myself as any of these,Within the last 15 years,0.9885273749949514,33.60378155220496
Outsourced,Prefer not to say,I was born in the UK,5.245289685362149,75.85058683557139
Outsourced,Prefer not to say,Within the last 10 years,1.670002475439279,24.149413164428598
Outsourced,NA,I was born in the UK,36.25798503797618,56.58880020597964
Outsourced,NA,Within the last year,2.2856680627281403,3.567302849384453
Outsourced,NA,Within the last 5 years,0.5167390824218555,0.8064884097437925
Outsourced,NA,Within the last 10 years,7.886684700014211,12.3089582697222
Outsourced,NA,Within the last 15 years,4.525390984453736,7.062897896972823
Outsourced,NA,Within the last 20 years,6.11791131529747,9.548386672250524
Outsourced,NA,Within the last 30 years,1.5873905081382578,2.477482524740938
Outsourced,NA,More than 30 years ago,1.5229091206710152,2.3768447107927466
Outsourced,NA,Prefer not to say,3.372043893144289,5.262838460412884
