UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
"Business, Research and Administrative Professionals",2,Business,Research and Administrative Professionals,0.7434944237918215,91.44981412639405,45
Conservation and Environment Professionals,2,Conservation and Environment Professionals,NA,0.7434944237918215,90.70631970260223,44
Construction and Building Trades,2,Construction and Building Trades,NA,0.7434944237918215,89.96282527881041,43
Elementary Process Plant Occupations,2,Elementary Process Plant Occupations,NA,0.7434944237918215,89.21933085501858,42
Elementary Security Occupations,2,Elementary Security Occupations,NA,0.7434944237918215,88.47583643122677,41
Leisure and Travel Services,2,Leisure and Travel Services,NA,0.7434944237918215,87.73234200743494,40
Managers and Proprietors in Health and Care Services,2,Managers and Proprietors in Health and Care Services,NA,0.7434944237918215,86.98884758364312,39
Other Drivers and Transport Operatives,2,Other Drivers and Transport Operatives,NA,0.7434944237918215,86.2453531598513,38
Other Health Professionals,2,Other Health Professionals,NA,0.7434944237918215,85.50185873605948,37
Process Operatives,2,Process Operatives,NA,0.7434944237918215,84.75836431226766,36
Research and Development (R&D) and Other Research Professionals,2,Research and Development (R&D) and Other Research Professionals,NA,0.7434944237918215,84.01486988847584,35
Shopkeepers and Sales Supervisors,2,Shopkeepers and Sales Supervisors,NA,0.7434944237918215,83.27137546468401,34
"Artistic, Literary and Media Occupations",1,Artistic,Literary and Media Occupations,0.37174721189591076,99.62825278810409,65
Business and Financial Project Management Professionals,1,Business and Financial Project Management Professionals,NA,0.37174721189591076,99.25650557620818,64
Chief Executives and Senior Officials,1,Chief Executives and Senior Officials,NA,0.37174721189591076,98.88475836431226,63
Customer Service Supervisors,1,Customer Service Supervisors,NA,0.37174721189591076,98.51301115241635,62
"Directors in Logistics, Warehousing and Transport",1,Directors in Logistics,Warehousing and Transport,0.37174721189591076,98.14126394052045,61
Electrical and Electronic Trades,1,Electrical and Electronic Trades,NA,0.37174721189591076,97.76951672862454,60
Elementary Administration Occupations,1,Elementary Administration Occupations,NA,0.37174721189591076,97.39776951672863,59
Elementary Construction Occupations,1,Elementary Construction Occupations,NA,0.37174721189591076,97.02602230483271,58
Finance Associate Professionals,1,Finance Associate Professionals,NA,0.37174721189591076,96.6542750929368,57
Hairdressers and Related Services,1,Hairdressers and Related Services,NA,0.37174721189591076,96.28252788104089,56
Health Associate Professionals,1,Health Associate Professionals,NA,0.37174721189591076,95.91078066914498,55
"Managers in Logistics, Warehousing and Transport",1,Managers in Logistics,Warehousing and Transport,0.37174721189591076,95.53903345724908,54
Plant and Machine Operatives,1,Plant and Machine Operatives,NA,0.37174721189591076,95.16728624535315,53
"Production, Factory and Assembly Supervisors",1,Production,Factory and Assembly Supervisors,0.37174721189591076,94.79553903345725,52
Protective Service Occupations,1,Protective Service Occupations,NA,0.37174721189591076,94.42379182156134,51
Regulatory Associate Professionals,1,Regulatory Associate Professionals,NA,0.37174721189591076,94.05204460966543,50
Sales Related Occupations,1,Sales Related Occupations,NA,0.37174721189591076,93.68029739776952,49
"Science, Engineering and Production Technicians",1,Science,Engineering and Production Technicians,0.37174721189591076,93.3085501858736,48
Teaching and Childcare Associate Professionals,1,Teaching and Childcare Associate Professionals,NA,0.37174721189591076,92.93680297397769,47
