SectorName,SectorName_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
7,CONSTRUCTION,Outsourced,39,39.35141991496291,33255.78787878788,32786.80067837283,312,315.96856964772064,12.454219721549062,Construction,NA
7,CONSTRUCTION,Likely agency,17,14.159727173301647,31836.5,30914.2858898167,312,315.96856964772064,4.481372052001436,Construction,NA
7,CONSTRUCTION,High indicators,10,8.000712268392643,29758.65,29598.40622438449,312,315.96856964772064,2.532122823897576,Construction,NA
8,EDUCATION,Not outsourced,983,894.9051482672546,26456.06981927711,25678.249634423402,1114,1023.5670665123092,87.430045137789,Education,NA
8,EDUCATION,Outsourced,99,94.66546259215733,20817.01948051948,19022.65993784221,1114,1023.5670665123092,9.248584258842886,Education,NA
8,EDUCATION,Likely agency,15,14.489910169492253,29918.89285714286,26374.334908544482,1114,1023.5670665123092,1.4156287988890661,Education,NA
8,EDUCATION,High indicators,17,19.506545483404974,27823.5,25871.360969534453,1114,1023.5670665123092,1.9057418044790515,Education,NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Not outsourced,90,88.06625968434913,34171.0785,33224.0709129494,107,105.98491742108568,83.0932002658978,"Electricity, gas, steam and air conditioning supply",NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Outsourced,12,13.82358376733352,29575.6,27017.659468417976,107,105.98491742108568,13.042972626389309,"Electricity, gas, steam and air conditioning supply",NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Likely agency,3,2.4774927131152173,48292,47663.58692980721,107,105.98491742108568,2.337589888636664,"Electricity, gas, steam and air conditioning supply",NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",High indicators,2,1.617581256287814,47946,47946.00000000001,107,105.98491742108568,1.5262372190762272,"Electricity, gas, steam and air conditioning supply",NA
10,FINANCIAL AND INSURANCE ACTIVITIES,Not outsourced,379,352.6886749904216,33258.453988095236,33084.10034380977,455,416.6683767977848,84.64493458825326,Financial and insurance activities,NA
10,FINANCIAL AND INSURANCE ACTIVITIES,Outsourced,49,42.35863201578886,34498.2625,33725.09934669458,455,416.6683767977848,10.166029959203291,Financial and insurance activities,NA
10,FINANCIAL AND INSURANCE ACTIVITIES,Likely agency,11,8.494966179994712,34316.944444444445,34915.85003362801,455,416.6683767977848,2.0387835153896123,Financial and insurance activities,NA
10,FINANCIAL AND INSURANCE ACTIVITIES,High indicators,16,13.126103611579632,31736.733333333334,31766.527116846697,455,416.6683767977848,3.150251937153829,Financial and insurance activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Not outsourced,1447,1370.1271225765574,26413.334785031846,25552.85647606749,1707,1629.0480975927292,84.10599567939194,Human health and social work activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Outsourced,156,157.15875327995573,22803.11365248227,22008.456140947546,1707,1629.0480975927292,9.6472752101176,Human health and social work activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Likely agency,59,57.605115120011774,24938.62037735849,23814.350313818722,1707,1629.0480975927292,3.5361211989465375,Human health and social work activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,High indicators,45,44.15710661620419,27883.271,27955.447271832563,1707,1629.0480975927292,2.7106079115439172,Human health and social work activities,NA
12,INFORMATION AND COMMUNICATION,Not outsourced,343,324.51812425785636,38322.6722972973,38104.435277167315,429,397.12756857644473,81.7163425397873,Information and communication,NA
12,INFORMATION AND COMMUNICATION,Outsourced,62,52.69333446247979,34334.54385964912,33723.43283188052,429,397.12756857644473,13.268616593747415,Information and communication,NA
12,INFORMATION AND COMMUNICATION,Likely agency,13,11.105488727644929,40997.875,40649.127570148834,429,397.12756857644473,2.7964537358748456,Information and communication,NA
12,INFORMATION AND COMMUNICATION,High indicators,11,8.810621128463636,30938.6,32094.519682183414,429,397.12756857644473,2.218587130590417,Information and communication,NA
13,MANUFACTURING,Not outsourced,638,671.0530674490599,30940.199642218246,30090.384164383424,750,789.038734116931,85.04691068177823,Manufacturing,NA
13,MANUFACTURING,Outsourced,70,77.9618161115274,25951.89238095238,24813.287555459887,750,789.038734116931,9.88060696396356,Manufacturing,NA
13,MANUFACTURING,Likely agency,22,20.062796319508113,28012.261904761905,27731.516366770735,750,789.038734116931,2.5426883943741756,Manufacturing,NA
13,MANUFACTURING,High indicators,20,19.961054236835544,31268.447368421053,29539.594771577027,750,789.038734116931,2.5297939598840316,Manufacturing,NA
14,MINING AND QUARRYING,Not outsourced,6,6.274749674662582,37033,39758.24513338801,6,6.274749674662582,100,Mining and quarrying,NA
15,NA,Not outsourced,83,110.41445652833545,24545.96262295082,23277.906927173055,95,123.15201115563963,89.65704700412367,NA,NA
15,NA,Outsourced,8,7.227013336464424,30816.666666666668,33963.64305560079,95,123.15201115563963,5.868368099430319,NA,NA
15,NA,High indicators,4,5.510541290839759,32500,31294.389806716354,95,123.15201115563963,4.474584896446013,NA,NA
16,Not found,Not outsourced,21,25.593461217445444,25582.03125,28564.811179641256,32,37.263503047894964,68.68238121507268,Not found,NA
16,Not found,Outsourced,6,7.746923453390563,31712.333333333332,28031.893499116497,32,37.263503047894964,20.78957376453149,Not found,NA
16,Not found,Likely agency,2,1.9199267589702167,30873,28678.24354324849,32,37.263503047894964,5.152298098497409,Not found,NA
16,Not found,High indicators,3,2.0031916180887395,20035.333333333332,19092.46732728422,32,37.263503047894964,5.3757469218984255,Not found,NA
17,OTHER SERVICE ACTIVITIES,Not outsourced,220,222.74953414083654,24958.5913,24424.19449062132,272,278.0959601512721,80.09808341684305,Other service activities,NA
17,OTHER SERVICE ACTIVITIES,Outsourced,38,40.61408741325723,24779.030303030304,23643.40740544515,272,278.0959601512721,14.604342828700185,Other service activities,NA
17,OTHER SERVICE ACTIVITIES,Likely agency,6,4.884167293026999,31360,28663.089628626152,272,278.0959601512721,1.7562884733637354,Other service activities,NA
17,OTHER SERVICE ACTIVITIES,High indicators,8,9.84817130415132,22446.45,22426.54609110135,272,278.0959601512721,3.541285281093024,Other service activities,NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Not outsourced,329,290.1712679947906,34084.94838129496,33401.17569409751,400,359.39662125841653,80.73845184708875,"Professional, scientific and technical activities",NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Outsourced,49,49.169218460661654,32900.14043478261,31741.600439442987,400,359.39662125841653,13.68104638504867,"Professional, scientific and technical activities",NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Likely agency,9,6.890372783728525,34636.9375,35794.22889279382,400,359.39662125841653,1.917205776615843,"Professional, scientific and technical activities",NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",High indicators,13,13.165762019235782,36349.63636363636,39272.96688448447,400,359.39662125841653,3.663295991246734,"Professional, scientific and technical activities",NA
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,Not outsourced,708,643.1317097142372,32920.05630470016,32690.197863813286,773,706.9299974492783,90.97530335885646,Public administration and defence, Compulsory social security
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,Outsourced,45,45.62544870833787,26791.40947368421,25593.607751356547,773,706.9299974492783,6.45402640614518,Public administration and defence, Compulsory social security
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,Likely agency,14,12.496876790349132,34770.807692307695,33554.29555885132,773,706.9299974492783,1.7677672238326219,Public administration and defence, Compulsory social security
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,High indicators,6,5.675962236354106,32800,30714.816068442797,773,706.9299974492783,0.8029030111657346,Public administration and defence, Compulsory social security
20,REAL ESTATE ACTIVITIES,Not outsourced,94,98.42490575177015,29805.067142857144,29321.88375290974,110,114.93788319001628,85.63312897371989,Real estate activities,NA
20,REAL ESTATE ACTIVITIES,Outsourced,9,10.297737430699234,26614.444444444445,28281.81586825123,110,114.93788319001628,8.959393669774594,Real estate activities,NA
20,REAL ESTATE ACTIVITIES,Likely agency,2,1.5178367324637163,40699.5,44619.78766968197,110,114.93788319001628,1.3205713297802917,Real estate activities,NA
20,REAL ESTATE ACTIVITIES,High indicators,5,4.697403275083174,23277.2,22419.195723821707,110,114.93788319001628,4.086906026725224,Real estate activities,NA
21,TRANSPORTATION AND STORAGE,Not outsourced,356,388.6984042447378,31330.933432343234,30923.69878066861,445,484.6389467471592,80.20370769902763,Transportation and storage,NA
21,TRANSPORTATION AND STORAGE,Outsourced,56,62.418330108523996,27171.7788,24837.018100662208,445,484.6389467471592,12.87934668219891,Transportation and storage,NA
21,TRANSPORTATION AND STORAGE,Likely agency,11,14.842681462476847,23877.2,22725.238355609414,445,484.6389467471592,3.0626266341364463,Transportation and storage,NA
21,TRANSPORTATION AND STORAGE,High indicators,22,18.67953093142055,34161.444444444445,34380.988557984085,445,484.6389467471592,3.8543189846369987,Transportation and storage,NA
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",Not outsourced,62,62.722368318445795,33384.87740740741,34594.057198676506,83,89.22592986027225,70.2961217850786,Water supply," Sewerage, waste management and remediation activities"
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",Outsourced,16,20.637182270115225,25937.35714285714,26767.22954116499,83,89.22592986027225,23.12913107482661,Water supply," Sewerage, waste management and remediation activities"
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",Likely agency,2,3.458180344404257,43000,32334.232027634906,83,89.22592986027225,3.8757571367648005,Water supply," Sewerage, waste management and remediation activities"
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",High indicators,3,2.4081989273069704,31080,30547.204601582824,83,89.22592986027225,2.698990003329983,Water supply," Sewerage, waste management and remediation activities"
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Not outsourced,1135,1250.8943596178522,21987.148851022394,21383.99170651297,1367,1490.8002106294416,83.90757867479124,Wholesale and retail trade, Repair of motor vehicles and motorcycles
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Outsourced,151,160.23081137034245,22561.973076923077,21862.825338047292,1367,1490.8002106294416,10.747973486178287,Wholesale and retail trade, Repair of motor vehicles and motorcycles
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Likely agency,31,30.102596776434964,21060.587096774194,21790.61301845556,1367,1490.8002106294416,2.019224075889091,Wholesale and retail trade, Repair of motor vehicles and motorcycles
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,High indicators,50,49.572442864811954,26291.460869565217,26778.407226960426,1367,1490.8002106294416,3.3252237631413815,Wholesale and retail trade, Repair of motor vehicles and motorcycles
NA,NA,Not outsourced,1,0.8331552475741444,18000,18000,1,0.8331552475741444,100,NA,NA
