Majorgroupcode_labelled,income_group,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"Process, plant and machine operatives",Low,Not outsourced,132,168.41172305251547,18048.45272727273,18180.278725059194,165,211.7908758305456,79.51793125746461
"Process, plant and machine operatives",Low,Outsourced,21,30.45187041609137,15047.263809523809,14780.474437103652,165,211.7908758305456,14.37827304725629
"Process, plant and machine operatives",Low,Likely agency,6,7.538479331662584,17408.13333333333,17904.359496217996,165,211.7908758305456,3.559397590713086
"Process, plant and machine operatives",Low,High indicators,6,5.388803030276162,16097.666666666666,16861.513726646437,165,211.7908758305456,2.544398104566014
Professional occupations,Not low,Not outsourced,1261,1083.258275669572,39312.82830293418,39508.94871214101,1469,1267.3399739098725,85.4749552582651
Professional occupations,Not low,Outsourced,127,114.0123339290736,36791.42125984252,36871.070241387635,1469,1267.3399739098725,8.996191730411057
Professional occupations,Not low,Likely agency,39,31.04953136117268,39353.217948717946,39852.47361007662,1469,1267.3399739098725,2.449976486213224
Professional occupations,Not low,High indicators,42,39.01983295005412,37377.98809523809,36925.77741953039,1469,1267.3399739098725,3.0788765251106205
Professional occupations,Low,Not outsourced,261,235.85925976779836,16699.31754789272,16796.951865218216,308,275.8465746335408,85.5037841528882
Professional occupations,Low,Outsourced,31,26.526718608279484,15887.645161290322,15687.378604385061,308,275.8465746335408,9.616475623639678
Professional occupations,Low,Likely agency,8,6.547179056251635,15937.5,16151.254515687066,308,275.8465746335408,2.373485719353047
Professional occupations,Low,High indicators,8,6.913417201211337,13796.73,13858.902646163422,308,275.8465746335408,2.506254504119088
Sales and customer service occupations,Not low,Not outsourced,211,220.21052962156443,30598.096398104266,31478.89272387603,261,272.2379367523529,80.8889944761386
Sales and customer service occupations,Not low,Outsourced,36,36.37717266896303,33205.16388888889,33693.43915374323,261,272.2379367523529,13.362271659461742
Sales and customer service occupations,Not low,Likely agency,1,1.491537495638961,30800.5,30800.5,261,272.2379367523529,0.5478801057017157
Sales and customer service occupations,Not low,High indicators,13,14.15869696618645,30644,30703.77276142583,261,272.2379367523529,5.200853758697935
Sales and customer service occupations,Low,Not outsourced,573,654.0441725651106,14205.071762652706,14006.982790185173,689,765.1602318311009,85.47806660049764
Sales and customer service occupations,Low,Outsourced,79,77.12693665108795,14653.737215189873,14606.167268236879,689,765.1602318311009,10.079841246651814
Sales and customer service occupations,Low,Likely agency,18,17.073112826212085,15870.394444444444,16262.861407885104,689,765.1602318311009,2.231312098559345
Sales and customer service occupations,Low,High indicators,19,16.916009788690324,14529.847368421053,14271.07559845128,689,765.1602318311009,2.210780054291205
Skilled trades occupations,Not low,Not outsourced,194,219.92848784111675,33134.71030927835,32540.07506638252,243,270.3037402074324,81.3634645500438
Skilled trades occupations,Not low,Outsourced,38,38.70743806733854,32869.77631578947,31457.297146153775,243,270.3037402074324,14.319978716400398
Skilled trades occupations,Not low,Likely agency,7,7.924544859294192,33251.42857142857,32465.097293518425,243,270.3037402074324,2.931718537528507
Skilled trades occupations,Not low,High indicators,4,3.7432694396828956,43466.5,43058.32188407173,243,270.3037402074324,1.3848381960272886
Skilled trades occupations,Low,Not outsourced,122,145.30778607215285,16418.49901639344,16048.228872158816,142,170.2645784668698,85.34234623581847
Skilled trades occupations,Low,Outsourced,18,21.62500778884041,18177.644444444446,18546.21345843872,142,170.2645784668698,12.700825963662323
Skilled trades occupations,Low,Likely agency,2,3.33178460587655,15000,15802.267810288711,142,170.2645784668698,1.9568278005192083
NA,Not low,Not outsourced,18,20.40604220650216,33750.5,33415.57196668219,21,23.473536091499692,86.9321184799748
NA,Not low,Outsourced,2,2.239284932630714,46200,40293.06121377596,21,23.473536091499692,9.53961484073808
NA,Not low,High indicators,1,0.8282089523668182,24000,24000,21,23.473536091499692,3.5282666792871136
NA,Low,Not outsourced,7,9.434436817677003,14754.285714285714,16210.6431663799,8,10.567561007308825,89.27733477149438
NA,Low,High indicators,1,1.1331241896318218,19746,19746,8,10.567561007308825,10.722665228505623
