Sex,Age,Ethnicity,Ethnicity_Collapsed,Ethnicity_binary,Region,Type_Of_Org,Specific_Type_Of_Org,Education_Band,BORNUK,BORNUK_binary,Annual_Income,Weekly_Income,income_drop,income_group,OutsourcedNonOL,TradeUnion,TUCOV,Occupation_Catergory,Organisation_Catergory,Guaranteed_Hours,Notice_Of_Working_Hours,Notice_Of_Cancelled_Shifts,Cancelled_Shift_Pay,Sick_Pay,RightsViolations_Paid_On_Time,RightsViolations_Paid_Correct_Amount,RightsViolations_Leave_Entitlement,RightsViolations_Holiday_Pay,RightsViolations_Sick_Pay,RightsViolations_Pay_Slip,RightsViolations_Health_Safety,RightsViolations_None,RightsViolations_TEXT,Job_Satisfaction,Pay_Comparison,Training_Induction,Treatment_At_Work_InHouse,Treatment_At_Work_Managers,Treatment_At_Work_Overall,Inhouse_Discrimination_Age,Inhouse_Discrimination_Disability,Inhouse_Discrimination_Nationality,Inhouse_Discrimination_Ethnicity,Inhouse_Discrimination_Sex,Client_Discrimination_Age,Client_Discrimination_Disability,Client_Discrimination_Nationality,Client_Discrimination_Ethnicity,Client_Discrimination_Sex,Clarity1,Clarity2,Clarity3,Clarity4,Clarity5,Clarity6,Clarity7,Clarity8,Clarity9,Clarity10,Clarity11,Clarity_Overall_Mean,Why_Job_Like,Why_Job_Convinient,Why_Job_Flexibility,Why_Job_Pay,Why_Job_Collegues,Why_Job_Culture,Why_Job_Progress,Why_Job_BestAvailable,Why_Job_NotQualified,Why_Job_Health,Why_Job_Carer,Pros_And_Cons_Flexibility,Pros_And_Cons_Pay,Pros_And_Cons_Hours,Pros_And_Cons_Holiday,Pros_And_Cons_Terms,Pros_And_Cons_Promotion,Pros_And_Cons_Training,Pros_And_Cons_Security,Pros_And_Cons_Treatment,Pros_And_Cons_Specialisation,Pros_And_Cons_Connection,Pros_And_Cons_FeelInvested,Pros_And_Cons_Rights,Pros_And_Cons_HealthSafety,Work_Preference,What_Improvements_Pay,What_Improvements_MoreHours,What_Improvements_LessHours,What_Improvements_MoreConsistency,What_Improvements_MoreFlexibility,What_Improvements_PartofInhouse,What_Improvements_PartofOutsourced,What_Improvements_Treatment,What_Improvements_BetterTerms,What_Improvements_EnforceRights,What_Improvements_Management,What_Improvements_Autonomy,What_Improvements_Union,What_Improvements_Other,What_Improvements_None,What_Improvements_Other_TEXT,Complaints,Outsourced
Female,20,English / Welsh / Scottish / Northern Irish / British,White British,White,North West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,14400,309.3922651933702,0,Low,group 3 5 or 6 indicators and long term,No,Yes,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)",Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir,25-35 hours,1-2 weeks,Yes,25-49%,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,Not being paid the full amount I am entitled to for the work I have completed,Not being given time off that I am entitled to,NA,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,NA,NA,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I did not feel prepared or adequately trained,I feel I am treated  worse  than in-house staff,I feel I am treated  better  than in-house staff,Always respected and treated well,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Not sure,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,3.6,I like doing this kind of work,NA,NA,NA,I like my colleagues,NA,NA,NA,NA,NA,I can do the job alongside childcare or caring for others,I get to work more flexibly,I get paid more,I have more secure working hours,I get worse holiday leave,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have less job security,I am treated worse than in house colleagues,I have more opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I would prefer to be an in-house worker,NA,NA,NA,More secure / consistent working hours,NA,NA,NA,Being treated better,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Strongly agree,0.765837840514947
Male,30,Pakistani,Asian/Asian British,Non-White,West Midlands,Some other kind of organisation,A public limited company,High,I was born in the UK,Born in UK,18000,386.7403314917127,0,Mid,group 1 outsourced and long term,No,Yes,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  better  than in-house staff,Usually respected and treated well,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.5454545454545454,NA,NA,NA,The pay is good,I like my colleagues,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,I can do the job alongside managing my health conditions,NA,I get to work less flexibly,Neither / no impact,I have more secure working hours,Neither / no impact,Neither / no impact,Neither / no impact,I have  less access to training and development,I have more job security,I am treated better than in-house colleagues,Neither / no impact,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,Not sure,NA,NA,Fewer working hours,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,1.0739441744046065
Female,45,English / Welsh / Scottish / Northern Irish / British,White British,White,East of England,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,16800,360.95764272559853,0,Low,group 1 outsourced and long term,Yes,Yes,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Education  (schools, colleges, or training centres)",35+ hours,4-6 days,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,"Sometimes well, sometimes poorly",Never,Rarely,Never,Never,Never,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3.5454545454545454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I can do the job alongside childcare or caring for others,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I feel more connected to people I work with,Neither / no impact,Neither / no impact,Neither / no impact,Not sure,Higher pay,NA,NA,More secure / consistent working hours,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.5869272015434649
Male,32,English / Welsh / Scottish / Northern Irish / British,White British,White,Scotland,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,21792,468.2136279926335,0,Mid,group 3 5 or 6 indicators and long term,No,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,Not being paid for paid leave that I am entitled to,NA,NA,NA,NA,,2,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,"Sometimes well, sometimes poorly",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Not sure,Strongly agree,2.1,NA,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an outsourced worker,NA,NA,Fewer working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly disagree,2.0496516155702587
Female,36,Indian,Asian/Asian British,Non-White,West Midlands,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,45000,966.8508287292817,0,High,group 2 agency and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa",Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir,25-35 hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4.545454545454546,NA,My job is in a convenient location,NA,The pay is good,NA,I like the workplace culture,It is helping me develop skills and experience I need to progress,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,NA,NA,NA,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.37365223271456804
Female,51,English / Welsh / Scottish / Northern Irish / British,White British,White,South East,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,22200,476.9797421731123,0,Mid,group 3 5 or 6 indicators and long term,No,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se",35+ hours,4-6 days,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,NA,not being paid for my overtime yet being deducted if I am late,5,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,"Sometimes well, sometimes poorly",Never,Never,Never,Never,Never,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4.636363636363637,I like doing this kind of work,NA,NA,The pay is good,I like my colleagues,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,I get to work less flexibly,I get paid less,I have more secure working hours,I get better holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is less protected,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finding it easier to understand lines of management and who is responsible for me,NA,NA,NA,NA,,Somewhat disagree,0.5704203898470525
Male,34,English / Welsh / Scottish / Northern Irish / British,White British,White,South East,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,14400,3093.9226519337017,1,High,group 1 outsourced and long term,Yes,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Arts, Entertainment, and Recreation  (includes theatres, libraries, museums, amusement parks, sports facilities, or othe",1-8 hours,4-6 days,Yes,0%,"No, I do not have access to sick pay if I am off work sick",NA,NA,Not being given time off that I am entitled to,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,3,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I did not feel prepared or adequately trained,I feel I am treated  worse  than in-house staff,I feel I am treated  worse  than in-house staff,Usually respected and treated well,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,3.272727272727273,NA,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get to work less flexibly,I get paid less,I have less secure working hours,I get worse holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated worse than in house colleagues,I have less opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel less invested in my role and my work,I find it harder to assert my rights at work,Neither / no impact,I would strongly prefer to be an in-house worker,NA,NA,NA,More secure / consistent working hours,NA,Feeling more like a part of the team with in-house staff,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat disagree,0.7157399184399412
Female,23,English / Welsh / Scottish / Northern Irish / British,White British,White,Northern Ireland,Some other kind of organisation,A health authority or NHS Trust,High,I was born in the UK,Born in UK,24000,515.6537753222835,0,Mid,group 2 agency and long term,Yes,Yes,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",35+ hours,1-3 days,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,5,NA – there are no in-house colleagues in comparable roles to mine,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Rarely,Never,Never,Sometimes,Often,Often,Rarely,Often,Sometimes,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3.727272727272727,I like doing this kind of work,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid less,I have more secure working hours,I get better holiday leave,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is less protected,I have no preference,NA,More working hours,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.2754707782422658
Female,37,Any other Asian background,Asian/Asian British,Non-White,Wales,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,23000,494.16820135052177,0,Mid,group 1 outsourced and long term,No,Yes,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",35+ hours,1-3 days,Yes,100%,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,"Sometimes well, sometimes poorly",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,4.2727272727272725,I like doing this kind of work,My job is in a convenient location,NA,The pay is good,NA,I like the workplace culture,NA,NA,NA,NA,NA,I get to work less flexibly,I get paid less,I have more secure working hours,Neither / no impact,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,Neither / no impact,I have more job security,I am treated worse than in house colleagues,Neither / no impact,I feel more connected to people I work with,I feel less invested in my role and my work,I find it easier to assert my rights at work,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.42902874275975
Male,34,English / Welsh / Scottish / Northern Irish / British,White British,White,West Midlands,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,13200,283.609576427256,0,Low,group 1 outsourced and long term,No,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Not sure,Not sure,Somewhat agree,Neither agree nor disagree,Not sure,4,NA,My job is in a convenient location,NA,The pay is good,NA,NA,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid more,I have more secure working hours,I get worse holiday leave,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I find it easier to assert my rights at work,Neither / no impact,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat disagree,0.9076382865906867
Female,47,English / Welsh / Scottish / Northern Irish / British,White British,White,South West,Some other kind of organisation,"A charity, voluntary organisation or trust",High,I was born in the UK,Born in UK,19200,412.5230202578269,0,Mid,group 2 agency and long term,Yes,Yes,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Education  (schools, colleges, or training centres)",25-35 hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.818181818181818,I like doing this kind of work,My job is in a convenient location,NA,NA,I like my colleagues,NA,NA,NA,NA,NA,I can do the job alongside childcare or caring for others,Neither / no impact,Neither / no impact,I have more secure working hours,Neither / no impact,Neither / no impact,I have less opportunity to progress onto higher pay or be promoted,Neither / no impact,I have less job security,Neither / no impact,Neither / no impact,Neither / no impact,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is less protected,I have no preference,Higher pay,NA,Fewer working hours,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.5735556363936599
Male,57,English / Welsh / Scottish / Northern Irish / British,White British,White,Yorkshire and the Humber,"A private firm, business or limited company",NA,Low,I was born in the UK,Born in UK,18720,402.2099447513812,0,Mid,group 1 outsourced and long term,No,Don't know,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)",Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir,35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,NA – there are no in-house colleagues in comparable roles to mine,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4.545454545454546,NA,My job is in a convenient location,NA,NA,NA,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,I get worse holiday leave,Neither / no impact,I have less opportunity to progress onto higher pay or be promoted,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,NA,NA,Fewer working hours,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.1641134069955346
Male,47,English / Welsh / Scottish / Northern Irish / British,White British,White,East of England,Some other kind of organisation,"Some other kind of organisation, please specify",High,I was born in the UK,Born in UK,22800,489.8710865561694,0,Mid,group 1 outsourced and long term,Prefer not to say,Don't know,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,35+ hours,Less than 24 hours,Yes,1-24%,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I don’t know / not sure,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,Always respected and treated well,Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Somewhat agree,Strongly agree,Strongly agree,Not sure,4.875,NA,My job is in a convenient location,NA,The pay is good,NA,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Neither / no impact,Don't know,Don't know,Neither / no impact,Don't know,Don't know,Not sure,NA,NA,NA,NA,NA,NA,NA,Being treated better,NA,NA,NA,NA,NA,NA,NA,,Not sure,0.7195769118284295
Male,47,White and Black Caribbean,Mixed/Multiple ethnic groups,Non-White,North West,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,24999,537.1178637200736,0,Mid,group 2 agency and long term,Yes,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35+ hours,1-3 days,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4.181818181818182,NA,NA,NA,The pay is good,I like my colleagues,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,1.1188269575421126
Male,43,English / Welsh / Scottish / Northern Irish / British,White British,White,South West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,34907.142857142855,750,0,High,group 1 outsourced and long term,Yes,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35+ hours,1-2 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4.818181818181818,I like doing this kind of work,My job is in a convenient location,NA,The pay is good,I like my colleagues,I like the workplace culture,NA,This was the best job available to me,NA,I can do the job alongside managing my health conditions,NA,Neither / no impact,Don't know,I have more secure working hours,Neither / no impact,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,Neither / no impact,I have more job security,Neither / no impact,Neither / no impact,I feel more connected to people I work with,Neither / no impact,I find it easier to assert my rights at work,Neither / no impact,I would prefer to be an outsourced worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Strongly agree,0.7031832781179689
Female,49,"Any other Black, Black British, or Caribbean background",Black/African/Caribbean/Black British,Non-White,London,Some other kind of organisation,Local government or council (including fire service and local authority controlled schools or colleges),High,Prefer not to say,Prefer not to say,25386,545.4327808471455,0,Mid,group 3 5 or 6 indicators and long term,Yes,Yes,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",25-35 hours,4-6 days,Yes,75-99%,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I don’t know / I’m not sure,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,"Sometimes well, sometimes poorly",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,I like doing this kind of work,NA,I can work flexibly in a way which suits me,NA,I like my colleagues,NA,It is helping me develop skills and experience I need to progress,NA,NA,NA,NA,I get to work more flexibly,I get paid more,I have more secure working hours,Neither / no impact,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,Neither / no impact,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I have no preference,Higher pay,NA,NA,NA,More flexible working hours,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat agree,0.3689516572000736
