"","Sex","Age","Ethnicity","Ethnicity_Collapsed","Region","Type_Of_Org","Specific_Type_Of_Org","Education_Band","BORNUK","Annual_Income","Weekly_Income","income_drop","Income_Group","TradeUnion","TUCOV","Occupation_Catergory","Organisation_Catergory","Guaranteed_Hours","Notice_Of_Working_Hours","Notice_Of_Cancelled_Shifts","Cancelled_Shift_Pay","Sick_Pay","RightsViolations_Paid_On_Time","RightsViolations_Paid_Correct_Amount","RightsViolations_Leave_Entitlement","RightsViolations_Holiday_Pay","RightsViolations_Sick_Pay","RightsViolations_Pay_Slip","RightsViolations_Health_Safety","RightsViolations_None","RightsViolations_TEXT","Job_Satisfaction","Pay_Comparison","Training_Induction","Treatment_At_Work_InHouse","Treatment_At_Work_Overall","Client_Discrimination_Age","Client_Discrimination_Disability","Client_Discrimination_Nationality","Client_Discrimination_Ethnicity","Client_Discrimination_Sex","Clarity1","Clarity2","Clarity3","Clarity4","Clarity5","Clarity6","Clarity7","Clarity8","Clarity9","Clarity10","Clarity11","Clarity_Overall_Mean","Why_Job_Like","Why_Job_Convinient","Why_Job_Flexibility","Why_Job_Pay","Why_Job_Collegues","Why_Job_Culture","Why_Job_Progress","Why_Job_BestAvailable","Why_Job_NotQualified","Why_Job_Health","Why_Job_Carer","Pros_And_Cons_Flexibility","Pros_And_Cons_Pay","Pros_And_Cons_Hours","Pros_And_Cons_Holiday","Pros_And_Cons_Terms","Pros_And_Cons_Promotion","Pros_And_Cons_Training","Pros_And_Cons_Security","Pros_And_Cons_Treatment","Pros_And_Cons_Specialisation","Pros_And_Cons_Connection","Pros_And_Cons_FeelInvested","Pros_And_Cons_Rights","Pros_And_Cons_HealthSafety","Work_Preference","What_Improvements_Pay","What_Improvements_MoreHours","What_Improvements_LessHours","What_Improvements_MoreConsistency","What_Improvements_MoreFlexibility","What_Improvements_PartofInhouse","What_Improvements_PartofOutsourced","What_Improvements_Treatment","What_Improvements_BetterTerms","What_Improvements_EnforceRights","What_Improvements_Management","What_Improvements_Autonomy","What_Improvements_Union","What_Improvements_Other","What_Improvements_None","What_Improvements_Other_TEXT","Complaints","Outsourced","Rights_Violations_Score","What_Improvements_Score"
"163","Male",54,"English / Welsh / Scottish / Northern Irish / British","White","North East","A private firm, business or limited company",NA,"High","I was born in the UK",25000,537.139349294045,0,"Not low","Yes","No","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","Yes","No","No","No","No","No","No",NA,NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",4.18181818181818,NA,"My job is in a convenient location",NA,"The pay is good","I like my colleagues",NA,"It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I feel more invested in my role and my work","Neither / no impact","Neither / no impact","I have no preference","No","No","No","Yes","No","No","No","No","No","No","No","No","No",NA,NA,NA,"Somewhat agree",0.571616826426077,1,1
"164","Female",24,"English / Welsh / Scottish / Northern Irish / British","White","South East","A private firm, business or limited company",NA,"High","Within the last 15 years",19600.5,421.127992633517,0,"Not low",NA,"No","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl","35+ hours","4 weeks or more","Yes","50-74%","Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","Yes","No","No","No","No","No","No",NA,NA,5,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I did not feel prepared or adequately trained","I feel I am treated  worse  than in-house staff","Usually disrespected or treated poorly",3,2,NA,NA,NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree",3.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,"I do not have the formal qualifications I need to do another job I would prefer",NA,NA,"I get to work more flexibly","I get paid less","I have less secure working hours","I get worse holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have less job security","I am treated better than in-house colleagues","I have more opportunity to specialise in my role or industry","I feel less connected to people I work with","I feel less invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is less protected","I would strongly prefer to be an outsourced worker","No","No","No","No","No","No","No","No","No","No","No","No","Yes",NA,NA,NA,"Strongly disagree",0.775415934837384,1,1
"165","Male",33,"English / Welsh / Scottish / Northern Irish / British","White","London","A private firm, business or limited company",NA,"High","Within the last year",20000,429.711479435236,0,"Low","Yes","Yes","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)","25-35 hours","1-3 days","Yes","1-24%","Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","Yes","No","No","Yes","No","No",NA,NA,7,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I did not feel prepared or adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",3,0,1,3,1,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Not sure","Neither agree nor disagree","Somewhat agree",3.2,NA,"My job is in a convenient location",NA,NA,NA,NA,NA,NA,NA,"I can do the job alongside managing my health conditions",NA,"I get to work less flexibly","I get paid more","I have less secure working hours","I get worse holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","Neither / no impact","I have more job security","I am treated better than in-house colleagues","I have more opportunity to specialise in my role or industry","I feel less connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is less protected","I would prefer to be an outsourced worker","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No",NA,NA,NA,"Strongly agree",1.03938571593284,2,2
"166","Male",23,"English / Welsh / Scottish / Northern Irish / British","White","West Midlands","Some other kind of organisation","Local government or council (including fire service and local authority controlled schools or colleges)","High","I was born in the UK",48000,1031.30755064457,0,"Not low","Yes","Yes","Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Education  (schools, colleges, or training centres)","25-35 hours","4-6 days","No",NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  better  than in-house staff","Sometimes well, sometimes poorly",1,3,1,2,3,"Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Not sure","Strongly agree",3.4,NA,NA,"I can work flexibly in a way which suits me","The pay is good","I like my colleagues",NA,NA,"This was the best job available to me",NA,NA,NA,"I get to work more flexibly","I get paid more","I have more secure working hours","I get better holiday leave","Neither / no impact","I have more opportunity to progress onto higher pay or be promoted","Neither / no impact","I have more job security","I am treated better than in-house colleagues","Neither / no impact","I feel less connected to people I work with","I feel more invested in my role and my work","Neither / no impact","My health and safety at work is less protected","I have no preference","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No",NA,NA,NA,"Somewhat disagree",0.907638286590687,0,3
"167","Female",38,"African","Black/ African/Caribbean/Black British","Scotland","A private firm, business or limited company",NA,"High","Within the last 3 years",19746,424.254143646409,0,"Not low","No","No","Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra","35+ hours","More than 2 weeks but less than 4 weeks","Yes","75-99%","I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,6,"I don’t know / I’m not sure","I felt prepared and adequately trained","It’s not possible to say / there are no in-house staff I can compare myself to","Usually respected and treated well",1,1,2,2,0,"Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree",4.27272727272727,"I like doing this kind of work","My job is in a convenient location",NA,NA,NA,NA,NA,"This was the best job available to me",NA,NA,NA,"I get to work less flexibly","I get paid less","Neither / no impact","Neither / no impact","I get worse terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  less access to training and development","I have less job security","Neither / no impact","I have less opportunity to specialise in my role or industry","Neither / no impact","Neither / no impact","I find it harder to assert my rights at work","Neither / no impact","I would strongly prefer to be an in-house worker","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes",NA,NA,NA,"Somewhat agree",0.357303160091262,0,3
"168","Male",24,"Pakistani","Asian/Asian British","London","A private firm, business or limited company",NA,"Low","I was born in the UK",30000,644.567219152854,0,"Not low","Yes","No","Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam","1-8 hours","4-6 days","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","Yes","Yes","Yes","Yes","Yes","Yes","Yes",NA,NA,2,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  worse  than in-house staff","Always disrespected or treated poorly",3,3,3,3,3,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",4.81818181818182,NA,"My job is in a convenient location","I can work flexibly in a way which suits me",NA,"I like my colleagues",NA,NA,"This was the best job available to me",NA,NA,NA,"I get to work more flexibly","I get paid less","I have less secure working hours","I get worse holiday leave","I get worse terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  less access to training and development","I have less job security","I am treated worse than in house colleagues","I have less opportunity to specialise in my role or industry","I feel less connected to people I work with","I feel less invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is less protected","I would strongly prefer to be an in-house worker","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No",NA,NA,NA,"Strongly disagree",2.5042723392883,7,3
"169","Female",31,"English / Welsh / Scottish / Northern Irish / British","White","North East","A private firm, business or limited company",NA,"High","I was born in the UK",20016,430.055248618785,0,"Not low","No","Don't know","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Education  (schools, colleges, or training centres)","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,6,"NA – there are no in-house colleagues in comparable roles to mine","I don’t know / not sure","I feel I am treated  better  than in-house staff","Sometimes well, sometimes poorly",NA,NA,NA,NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",3,"I like doing this kind of work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Don't know","Neither / no impact","Neither / no impact","Don't know","Neither / no impact","Don't know","Neither / no impact","Don't know","Neither / no impact","Neither / no impact","Neither / no impact","Don't know","Not sure","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Neither agree nor disagree",0.656001859958019,0,0
"170","Male",25,"English / Welsh / Scottish / Northern Irish / British","White","West Midlands","A private firm, business or limited company",NA,"High","Prefer not to say",14400,309.39226519337,0,"Low","No","No","Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se","16-24 hours","4-6 days","Yes","50-74%","Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","Yes","No","No","Yes","No",NA,NA,5,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",4,NA,"My job is in a convenient location",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I get to work less flexibly","I get paid less","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  less access to training and development","I have more job security","I am treated worse than in house colleagues","I have less opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is less protected","I would strongly prefer to be an outsourced worker","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes",NA,NA,NA,"Strongly agree",0.907638286590687,2,3
"171","Male",34,"African","Black/ African/Caribbean/Black British","East Midlands","Some other kind of organisation","Some other kind of organisation, please specify","High","Prefer not to say",18165.6771428571,390.3,0,"Not low","No","Don't know","Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam","No guaranteed hours (zero hours)","1-2 weeks","No",NA,"I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,7,"I don’t know / I’m not sure","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree",4.81818181818182,"I like doing this kind of work",NA,"I can work flexibly in a way which suits me","The pay is good",NA,NA,"It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"I get to work more flexibly","Neither / no impact","Don't know","Don't know","Don't know","Don't know","Neither / no impact","Don't know","Don't know","Don't know","Neither / no impact","Neither / no impact","Don't know","Neither / no impact","I would prefer to be an in-house worker","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,"Strongly agree",0.422703473175959,0,1
"172","Male",39,"Pakistani","Asian/Asian British","West Midlands","A private firm, business or limited company",NA,"Mid","I was born in the UK",26000,558.624923265807,0,"Not low","No","No","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,5,"I think I get paid  more  than my colleagues in comparable roles who work in-house.","I did not feel prepared or adequately trained","I feel I am treated  better  than in-house staff","Usually respected and treated well",0,0,0,0,0,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree",4,"I like doing this kind of work","My job is in a convenient location","I can work flexibly in a way which suits me",NA,"I like my colleagues",NA,NA,NA,NA,NA,NA,"I get to work more flexibly","I get paid more","I have more secure working hours","Neither / no impact","I get better terms and conditions","Neither / no impact","I have  more access to training and development","I have more job security","I am treated worse than in house colleagues","Neither / no impact","I feel more connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","I would prefer to be an outsourced worker","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No",NA,NA,NA,"Somewhat disagree",1.92007484888074,0,3
"173","Female",43,"English / Welsh / Scottish / Northern Irish / British","White","North East","A private firm, business or limited company",NA,"Mid","I was born in the UK",24600,528.545119705341,0,"Not low","No","Don't know","Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu","35+ hours","Not applicable – my job does not involve variable working hours or shift work","No",NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)","Yes","No","No","No","No","No","No",NA,NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Sometimes well, sometimes poorly",0,0,0,0,0,"Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.27272727272727,"I like doing this kind of work","My job is in a convenient location",NA,"The pay is good",NA,"I like the workplace culture","It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"Neither / no impact","I get paid less","Neither / no impact","I get worse holiday leave","Neither / no impact","I have less opportunity to progress onto higher pay or be promoted","Neither / no impact","Neither / no impact","I am treated worse than in house colleagues","Don't know","I feel more connected to people I work with","Don't know","Neither / no impact","Neither / no impact","I would prefer to be an in-house worker","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No",NA,NA,NA,"Strongly agree",1.04352239500084,1,3
"174","Male",39,"African","Black/ African/Caribbean/Black British","North East","A private firm, business or limited company",NA,"High","Within the last 3 years",19746,424.254143646409,0,"Not low","No","Don't know","Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)","35+ hours","1-3 days","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,7,"NA – there are no in-house colleagues in comparable roles to mine","I felt very well prepared and well trained","It’s not possible to say / there are no in-house staff I can compare myself to","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",5,"I like doing this kind of work",NA,"I can work flexibly in a way which suits me","The pay is good","I like my colleagues","I like the workplace culture","It is helping me develop skills and experience I need to progress","This was the best job available to me",NA,NA,NA,"I get to work more flexibly","Neither / no impact","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","Neither / no impact","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","Not sure","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No",NA,NA,NA,"Strongly agree",0.2635186109053,0,3
"175","Male",42,"English / Welsh / Scottish / Northern Irish / British","White","West Midlands","A private firm, business or limited company",NA,"High","I was born in the UK",48000,1031.30755064457,0,"Not low","No","No","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",4.81818181818182,NA,NA,"I can work flexibly in a way which suits me",NA,"I like my colleagues","I like the workplace culture",NA,"This was the best job available to me",NA,NA,NA,"I get to work more flexibly","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have  less access to training and development","Neither / no impact","Neither / no impact","I have less opportunity to specialise in my role or industry","I feel more connected to people I work with","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No",NA,NA,NA,"Somewhat agree",0.826574652681426,0,2
"176","Male",62,"English / Welsh / Scottish / Northern Irish / British","White","South East","A private firm, business or limited company",NA,"High","I was born in the UK",47946,1030.14732965009,0,"Not low","No","No","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project","35+ hours","1-3 days","No",NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","No","No","None of these",NA,7,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I don’t know / not sure","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",5,NA,NA,NA,"The pay is good",NA,NA,NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Don't know","Neither / no impact","I get better terms and conditions","Neither / no impact","Don't know","I have more job security","Neither / no impact","Neither / no impact","Don't know","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","No","No","No","No","Yes","No","No","No","No","No","No","No","No",NA,NA,NA,"Strongly agree",0.675670029137296,0,1
"177","Male",49,"English / Welsh / Scottish / Northern Irish / British","White","Scotland","A private firm, business or limited company",NA,"High","More than 30 years ago",26000,558.624923265807,0,"Not low","Yes","No","Process, plant and machine operatives (e.g. lorry, train and bus drivers, machinists, plant operatives, assembly line wo","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o","25-35 hours","1-3 days","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,5,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree",3.72727272727273,"I like doing this kind of work","My job is in a convenient location","I can work flexibly in a way which suits me","The pay is good","I like my colleagues","I like the workplace culture",NA,"This was the best job available to me",NA,NA,NA,"I get to work more flexibly","I get paid less","I have more secure working hours","Neither / no impact","I get worse terms and conditions","I have less opportunity to progress onto higher pay or be promoted","Neither / no impact","I have less job security","I am treated worse than in house colleagues","I have less opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel less invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is less protected","I would strongly prefer to be an in-house worker","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",NA,NA,NA,"Neither agree nor disagree",0.916670830800082,0,3
"178","Male",65,"English / Welsh / Scottish / Northern Irish / British","White","North West","A private firm, business or limited company",NA,"Mid","I was born in the UK",33000,709.02394106814,0,"Not low","No","No","Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti","35+ hours","Less than 24 hours","Yes","50-74%","Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)","No","Yes","No","No","No","No","No",NA,"Overtime payments delayed",6,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,2,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",3.54545454545455,"I like doing this kind of work","My job is in a convenient location",NA,NA,"I like my colleagues",NA,NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No",NA,NA,NA,"Neither agree nor disagree",0.97447515860294,1,3
"179","Male",36,"English / Welsh / Scottish / Northern Irish / British","White","South East","A private firm, business or limited company",NA,"Mid","I was born in the UK",28000,601.596071209331,0,"Not low","No","No","Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  more  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,NA,"Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree",4.45454545454545,NA,NA,NA,"The pay is good",NA,NA,"It is helping me develop skills and experience I need to progress",NA,"I do not have the formal qualifications I need to do another job I would prefer",NA,NA,"I get to work more flexibly","I get paid more","Neither / no impact","I get better holiday leave","I get better terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","I am treated better than in-house colleagues","I have less opportunity to specialise in my role or industry","I feel less connected to people I work with","I feel less invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is less protected","I have no preference","No","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes",NA,NA,NA,"Strongly agree",1.27965144603385,0,3
"180","Male",37,"Indian","Asian/Asian British","West Midlands","A private firm, business or limited company",NA,"High","I was born in the UK",28000,601.596071209331,0,"Not low","Yes","Yes","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)","35+ hours","4-6 days","Yes","1-24%","Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","Yes","No","No","No","No","Yes","No",NA,NA,5,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.81818181818182,NA,NA,NA,NA,"I like my colleagues","I like the workplace culture",NA,"This was the best job available to me",NA,"I can do the job alongside managing my health conditions",NA,"I get to work less flexibly","I get paid less","I have more secure working hours","I get worse holiday leave","I get better terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","Neither / no impact","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","Neither / no impact","My health and safety at work is more protected","I would prefer to be an in-house worker","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No",NA,NA,NA,"Strongly agree",0.45810028740785,2,3
